,Name,Locality,Cuisines,avg_cost_for_two,aggregate_rating
786,D2i,Sapna Sangeeta,"North Indian, Mughlai, Chinese",550,3.9
787,Cafe Piano - The Grand Bhagwati,The Grand Bhagwati,"North Indian, Italian",1500,4.1
788,Jalsa,Sapna Sangeeta,North Indian,500,3.7
789,Nakhrali Dhani,Rau,Rajasthani,700,4
790,M2 Restaurant,Airport Road,North Indian,600,3.7
791,The Sultan's,Rau,"Arabian, North Indian",800,4.1
792,Kava - Fairfield by Marriott,Fairfield By Marriott,"North Indian, Asian, Italian",1500,3.8
793,Mharo Rajwaad,YN Road,Rajasthani,600,2.5
794,Hotel Apna Avenue Foody,New Palasia,"North Indian, Chinese, Fast Food",600,4
795,Not So Desi,Vijay Nagar,North Indian,1600,3.7
796,Chlorophyll,Bhawar Kuan,"Chinese, North Indian, Fast Food",600,3.7
797,Riddhi Siddhi,By Pass Road (North),"North Indian, South Indian, Chinese",650,3.2
798,Kukdu Kuu Club,"BCM Heights, Vijay Nagar","North Indian, Mughlai",550,3.5
799,Romba South,Vijay Nagar,"Andhra, South Indian",600,4
800,Naturals Ice Cream,RNT Marg,"Desserts, Ice Cream",150,4.7
801,Cakes N' Craft,Old Palasia,"Bakery, Desserts",350,3.9
802,Simi's,Vijay Nagar,"Bakery, Desserts",300,4.6
